participant,speech.sample,motion.expression.type
120,y corre por [/] &um por lo &um,VPN
120,&um Mr Bean trep(a) [/] trepa del coche &um,VPN
120,&um Mr Bean &um sube el calle &um pero &um us(a) [/] usa solamente un pie,VN
120,&um Mr Bean corre en el centro comercial &um &um y con un bolso &um,VPN
120,&um Mr Bean corre en su habitación &um con mucho alegre y &um,VPN
120,&um Mr Bean pasé [: pasea] [*] en un campo en un calle o en carretera lo siento,VPN
120,&um # &um Mr Bean vuelve el trampolín por la agua,VN
120,&um en un saco Mr Bean [^ eng: like] &um pas(a) [//] cami(na) [//] &um caminé [: caminó] [*] con &um el mano y &um sus piernas &um en el andén,VPN
120,&um Mr Bean &um caminé en un túnel [/] túnel &um y ,VPN
120,&um Mr Bean sube las escaleras &um y está un hombre al &um de piso,VN
120,&um Mr Bean vuelve al habitación &um por la pasilla [*] ,VPN
120,&um rápidamente salían [: salía] [*],V
120,y las personas que [/] que van a Mr Bean son un poco miedo,VPN
120,&um Mr Bean corre <a la> [//] &um al tobogán &um en la piscina,VPN
120,&um Mr Bean &um &um (1)va de su habitación &um y entre [: entra] [*] el pasillo ,VPN
120,&um Mr Bean &um &um (1)va de su habitación &um y entre [: entra] [*] el pasillo ,VN
120,&um señor Bean &um pasea del calle &um pero un sus zapatos está una cosa y &um necesita [//] necesita &um pasear con un pie,VPN
120,&um señor Bean &um pasea del calle &um pero un sus zapatos está una cosa y &um necesita [//] necesita &um pasear con un pie,V
120,&um Mr Bean entra su habitación,VN
120,&um señor Bean baila y &um (1)mueve sus pies &um # el (2)movimiento de los pies no es natural,V
120,&um Mr Bean pasea en el andén &um # &um y cuando una persona (1)ve él &um &um Mr Bean [^ eng: like] # &um cambia direcciones,VPN
120,&um el pañal (1)va a la aire #,VPN
120,&um el hombre caseo [: se cae] [*] por el suelo um y es [//] están muy mal um,VPN
120,&um Mr Bean muve [: (1)mueve] [*] en el piso &um # &um muve [: (2)mueve] [*] con sus &um &um rodillas o sus piernas y manos,VPN
120,&um Mr Bean muve [: (1)mueve] [*] en el piso &um # &um muve [: (2)mueve] [*] con sus &um &um rodillas o sus piernas y manos,V
120,&um Mr Bean entra en un fotomatón &um,VPN
120,&um señor Bean &um trepa las escaleras,VN
120,&um <Mr Bean> [/] Mr Bean &um &um llega a su destinación y sale [/] sale de su coche o exite [: sale] [*] su coche ,VPN
120,&um <Mr Bean> [/] Mr Bean &um &um llega a su destinación y sale [/] sale de su coche o exite [: sale] [*] su coche ,VPN
120,&um el hombre &um corre &um a Mr Bean y xxx,VPN
120,&um Mr Bean &um entra la tienda &um porque está un &um sale [*] [/] sale [*] # &um (1)ve en las (2)ventanas &um antes de entra [: entrar] [*] ,VN
120,&um Mr Bean &um entra la tienda &um porque está un &um sale [*] [/] sale [*] # &um (1)ve en las (2)ventanas &um antes de entra [: entrar] [*] ,V
120,&um Mr Bean &um muvas [: (1)mueve] [*] [//] muva [: (2)mueve] [*] mucho en su cama &um no [/] no está cómode [: cómodo] [*] no tiene cama,VPN
120,&um y &um es [/] &um es [//] &um está caminar en el andén,VPN
120,&um Mr Bean corre en la carretera &um,VPN
120,&um Mr Bean &um pase [: pasea] [*] en la calle pero &um solamente uso [//] use &um uno pie y &um corre de un carro [/] carro &um pero sí solamente usa el pie,VPN
120,&um Mr Bean &um pase [: pasea] [*] en la calle pero &um solamente uso [//] use &um uno pie y &um corre de un carro [/] carro &um pero sí solamente usa el pie,VPN
120,&um Mr Bean corre &um de un perro y &um escapa [//] escapar a un [//] una taquilla # &um Mr Bean tiene las papas fritas también,VPN
120,&um Mr Bean corre &um de un perro y &um escapa [//] escapar a un [//] una taquilla # &um Mr Bean tiene las papas fritas también,VPN
120,&um Mr Bean busca para &um una cosa <en el> [//] en el lado # &um &um corre en todos los direcciones &um,VPN
120,&um Mr Bean &um camina en el andén pero &um no (1)ve donde su pasea # sus ojos no son en la dirección &um que él &um camina,VPN
120,&um Mr Bean &um camina en el andén pero &um no (1)ve donde su pasea # sus ojos no son en la dirección &um que él &um camina,V
120,&um Mr Bean &um camina en el andén pero &um no (1)ve donde su pasea # sus ojos no son en la dirección &um que él &um camina,V
120,&um <la dent(ista)> [/] la dentista está en el piso porque &um <se cae> [/] se cae &um la cosa cae y el dentista fue cerca de él y cae también,V
120,&um <la dent(ista)> [/] la dentista está en el piso porque &um <se cae> [/] se cae &um la cosa cae y el dentista fue cerca de él y cae también,V
120,&um <la dent(ista)> [/] la dentista está en el piso porque &um <se cae> [/] se cae &um la cosa cae y el dentista fue cerca de él y cae también,V
120,&um Mr Bean &um muve [: (1)mueve] [*] en el piso &um y su mano &um es en su [/] su caro [//] su cara y &um # y su nariz es &um es en su mano # también tiene un,VPN
120,&um Mr Bean entre [: entra] [*] el laboratorio &um y <(1)ve al> [//] (2)ve a las cosas en laboratorio &um abre la puerta a entre [: entrar] [*],VN
120,&um Mr Bean entre [: entra] [*] el laboratorio &um y <(1)ve al> [//] (2)ve a las cosas en laboratorio &um abre la puerta a entre [: entrar] [*],V
120,&um Mr Bean trepa las escaleras &um para &um el &um andén <más alta> [/] más alta &um,VN
120,&um Mr Bean &um sube del fotomatón &um y &um cierre [: cierra] [*] &um la [^ eng: curtain],VPN
120,&um Mr Bean &um corre &um de la gallina &um en [/] en la calle y todos los personas &um miran pero <&um Mr Bean solamente &um es importa> [//] para Mr Bean solamente  es importa es la gallina ,VPN
120,&um Mr Bean (1)levanta de la silla y &um después siente [: se sienta] [*] siente [: se sienta] [*] levante [: se (2)levanta] [*] y siente [: se sienta] [*] levante [: se (3)levanta] [*] # &um mira la (4)televisión cuando pero,VPN
120,cuando Mr Bean &um camine a las escaleras,VPN
120,&um señor Bean &um corre en el parque y &um busca para una cosa en el parque,VPN
120,&um Mr Bean pensea [: pasea] [*] en el calle perro solo usa &um <un pie> [//] uno pie &um para muvar [: (1)mover] [*] # un coche &um tiene un de sus zapatos,VPN
120,&um Mr Bean pensea [: pasea] [*] en el calle perro solo usa &um <un pie> [//] uno pie &um para muvar [: (1)mover] [*] # un coche &um tiene un de sus zapatos,V
120,&um Mr Bean (1)ve a la sala y después entre [: entra] [*] la sala # abre la puerta para entrar ,VN
120,&um Mr Bean (1)ve a la sala y después entre [: entra] [*] la sala # abre la puerta para entrar ,V
120,&um Mr Bean &um corre &um cerca del [//] de la manta &um &um corre de <un (1)oveja> [//] una (2)oveja,VPN
